movie_title,title_year,director_name,gross,budget,content_rating,country,duration,actor_1_facebook_likes,genres,f_adj_gross,adj_budget,dir_adj_av_gross,profit
Avatar ,2009.0,James Cameron,760505847.0,237000000.0,3,USA,178.0,1000.0,Action|Adventure|Fantasy|Sci-Fi,850792431.9106946,265136431.44,454194709.97749573,1
Pirates of the Caribbean: At World's End ,2007.0,Gore Verbinski,309404152.0,300000000.0,3,USA,169.0,40000.0,Action|Adventure|Fantasy,358156122.9607507,347270184.3,227065106.22546872,1
The Dark Knight Rises ,2012.0,Christopher Nolan,448130642.0,250000000.0,3,USA,164.0,27000.0,Action|Thriller,468469164.1160918,261346313.0,252059110.9972939,1
John Carter ,2012.0,Andrew Stanton,73058679.0,263700000.0,3,USA,132.0,640.0,Action|Adventure|Sci-Fi,76374465.5572021,275668090.9524,274211580.2914806,0
Spider-Man 3 ,2007.0,Sam Raimi,336530303.0,258000000.0,3,USA,156.0,24000.0,Action|Adventure|Romance,389556467.81781614,298652358.49799997,221808826.42034203,1
Tangled ,2010.0,Nathan Greno,200807262.0,260000000.0,2,USA,100.0,799.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,221020595.0907997,286171695.94,221020595.0907997,0
Avengers: Age of Ultron ,2015.0,Joss Whedon,458991599.0,250000000.0,3,USA,141.0,26000.0,Action|Adventure|Sci-Fi,464781763.7926455,253153742.25000003,382495032.31650585,1
Batman v Superman: Dawn of Justice ,2016.0,Zack Snyder,330249062.0,250000000.0,3,USA,183.0,15000.0,Action|Adventure|Sci-Fi,330249062.0,250000000.0,167996332.5295227,1
Superman Returns ,2006.0,Bryan Singer,200069408.0,209000000.0,3,USA,169.0,18000.0,Action|Adventure|Sci-Fi,238187790.81430995,248819890.946,149424039.40538454,0
Pirates of the Caribbean: Dead Man's Chest ,2006.0,Gore Verbinski,423032628.0,225000000.0,3,USA,151.0,40000.0,Action|Adventure|Fantasy,503631255.33760667,267868303.65,227065106.22546872,1
The Lone Ranger ,2013.0,Gore Verbinski,89289910.0,215000000.0,3,USA,150.0,40000.0,Action|Adventure|Western,91992064.29509646,221506481.79,227065106.22546872,0
Man of Steel ,2013.0,Zack Snyder,291021565.0,225000000.0,3,USA,143.0,15000.0,Action|Adventure|Fantasy|Sci-Fi,299828665.06125486,231809108.85,167996332.5295227,1
The Chronicles of Narnia: Prince Caspian ,2008.0,Andrew Adamson,141614023.0,225000000.0,2,USA,150.0,22000.0,Action|Adventure|Family|Fantasy,157867076.88174403,250823269.8,358412910.20977515,0
The Avengers ,2012.0,Joss Whedon,623279547.0,220000000.0,3,USA,173.0,26000.0,Action|Adventure|Sci-Fi,651567246.3070407,229984755.44,382495032.31650585,1
Pirates of the Caribbean: On Stranger Tides ,2011.0,Rob Marshall,241063875.0,250000000.0,3,USA,136.0,40000.0,Action|Adventure|Fantasy,257214104.30969664,266748910.75,141353227.56994468,0
Men in Black 3 ,2012.0,Barry Sonnenfeld,179020854.0,225000000.0,3,USA,106.0,10000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,187145760.5720452,235211681.7,186048001.21722585,0
The Amazing Spider-Man ,2012.0,Marc Webb,262030663.0,230000000.0,3,USA,153.0,15000.0,Action|Adventure|Fantasy,273922990.67198205,240438607.96,171938572.52791378,1
Robin Hood ,2010.0,Ridley Scott,105219735.0,200000000.0,3,USA,156.0,891.0,Action|Adventure|Drama|History,115811192.35118222,220132073.8,100752892.79883356,0
The Hobbit: The Desolation of Smaug ,2013.0,Peter Jackson,258355354.0,225000000.0,3,USA,186.0,5000.0,Adventure|Fantasy,266173886.121628,231809108.85,315631843.44106334,1
The Golden Compass ,2007.0,Chris Weitz,70083519.0,180000000.0,3,USA,113.0,16000.0,Adventure|Family|Fantasy,81126388.53174184,208362110.58,125451120.75409366,0
Titanic ,1997.0,James Cameron,658672302.0,200000000.0,3,USA,194.0,29000.0,Drama|Romance,984971583.7537774,299077881.6,454194709.97749573,1
Captain America: Civil War ,2016.0,Anthony Russo,407197282.0,250000000.0,3,USA,147.0,21000.0,Action|Adventure|Sci-Fi,407197282.0,250000000.0,190246621.70237836,1
Battleship ,2012.0,Peter Berg,65173160.0,209000000.0,3,USA,131.0,14000.0,Action|Adventure|Sci-Fi|Thriller,68131060.29023632,218485517.66799998,97090047.14011107,0
Jurassic World ,2015.0,Colin Trevorrow,652177271.0,150000000.0,3,USA,124.0,3000.0,Action|Adventure|Sci-Fi|Thriller,660404467.0561697,151892245.35000002,332297076.8530267,1
Spider-Man 2 ,2004.0,Sam Raimi,373377893.0,200000000.0,3,USA,135.0,24000.0,Action|Adventure|Fantasy|Romance,474401419.16357726,254113287.4,221808826.42034203,1
Iron Man 3 ,2013.0,Shane Black,408992272.0,200000000.0,3,USA,195.0,21000.0,Action|Adventure|Sci-Fi,421369484.883808,206052541.2,213287515.71065703,1
Alice in Wonderland ,2010.0,Tim Burton,334185206.0,200000000.0,2,USA,108.0,40000.0,Adventure|Family|Fantasy,367824412.150301,220132073.8,159762536.66858873,1
