movie_title,title_year,director_name,gross,budget,content_rating,country
Avatar ,2009.0,James Cameron,760505847.0,237000000.0,3,USA
Pirates of the Caribbean: At World's End ,2007.0,Gore Verbinski,309404152.0,300000000.0,3,USA
The Dark Knight Rises ,2012.0,Christopher Nolan,448130642.0,250000000.0,3,USA
John Carter ,2012.0,Andrew Stanton,73058679.0,263700000.0,3,USA
Spider-Man 3 ,2007.0,Sam Raimi,336530303.0,258000000.0,3,USA
Tangled ,2010.0,Nathan Greno,200807262.0,260000000.0,2,USA
Avengers: Age of Ultron ,2015.0,Joss Whedon,458991599.0,250000000.0,3,USA
Batman v Superman: Dawn of Justice ,2016.0,Zack Snyder,330249062.0,250000000.0,3,USA
Superman Returns ,2006.0,Bryan Singer,200069408.0,209000000.0,3,USA
Pirates of the Caribbean: Dead Man's Chest ,2006.0,Gore Verbinski,423032628.0,225000000.0,3,USA
The Lone Ranger ,2013.0,Gore Verbinski,89289910.0,215000000.0,3,USA
Man of Steel ,2013.0,Zack Snyder,291021565.0,225000000.0,3,USA
The Chronicles of Narnia: Prince Caspian ,2008.0,Andrew Adamson,141614023.0,225000000.0,2,USA
The Avengers ,2012.0,Joss Whedon,623279547.0,220000000.0,3,USA
Pirates of the Caribbean: On Stranger Tides ,2011.0,Rob Marshall,241063875.0,250000000.0,3,USA
Men in Black 3 ,2012.0,Barry Sonnenfeld,179020854.0,225000000.0,3,USA
The Amazing Spider-Man ,2012.0,Marc Webb,262030663.0,230000000.0,3,USA
Robin Hood ,2010.0,Ridley Scott,105219735.0,200000000.0,3,USA
The Hobbit: The Desolation of Smaug ,2013.0,Peter Jackson,258355354.0,225000000.0,3,USA
The Golden Compass ,2007.0,Chris Weitz,70083519.0,180000000.0,3,USA
Titanic ,1997.0,James Cameron,658672302.0,200000000.0,3,USA
Captain America: Civil War ,2016.0,Anthony Russo,407197282.0,250000000.0,3,USA
Battleship ,2012.0,Peter Berg,65173160.0,209000000.0,3,USA
Jurassic World ,2015.0,Colin Trevorrow,652177271.0,150000000.0,3,USA
Spider-Man 2 ,2004.0,Sam Raimi,373377893.0,200000000.0,3,USA
Iron Man 3 ,2013.0,Shane Black,408992272.0,200000000.0,3,USA
Alice in Wonderland ,2010.0,Tim Burton,334185206.0,200000000.0,2,USA
Monsters University ,2013.0,Dan Scanlon,268488329.0,200000000.0,0,USA
Transformers: Revenge of the Fallen ,2009.0,Michael Bay,402076689.0,200000000.0,3,USA
Transformers: Age of Extinction ,2014.0,Michael Bay,245428137.0,210000000.0,3,USA
Oz the Great and Powerful ,2013.0,Sam Raimi,234903076.0,215000000.0,2,USA
The Amazing Spider-Man 2 ,2014.0,Marc Webb,202853933.0,200000000.0,3,USA
TRON: Legacy ,2010.0,Joseph Kosinski,172051787.0,170000000.0,2,USA
Cars 2 ,2011.0,John Lasseter,191450875.0,200000000.0,0,USA
Green Lantern ,2011.0,Martin Campbell,116593191.0,200000000.0,3,USA
Toy Story 3 ,2010.0,Lee Unkrich,414984497.0,200000000.0,0,USA
Terminator Salvation ,2009.0,McG,125320003.0,200000000.0,3,USA
Furious 7 ,2015.0,James Wan,350034110.0,190000000.0,3,USA
World War Z ,2013.0,Marc Forster,202351611.0,190000000.0,3,USA
X-Men: Days of Future Past ,2014.0,Bryan Singer,233914986.0,200000000.0,3,USA
Star Trek Into Darkness ,2013.0,J.J. Abrams,228756232.0,190000000.0,3,USA
Jack the Giant Slayer ,2013.0,Bryan Singer,65171860.0,195000000.0,3,USA
Prince of Persia: The Sands of Time ,2010.0,Mike Newell,90755643.0,200000000.0,3,USA
Pacific Rim ,2013.0,Guillermo del Toro,101785482.0,190000000.0,3,USA
Transformers: Dark of the Moon ,2011.0,Michael Bay,352358779.0,195000000.0,3,USA
Indiana Jones and the Kingdom of the Crystal Skull ,2008.0,Steven Spielberg,317011114.0,185000000.0,3,USA
Brave ,2012.0,Mark Andrews,237282182.0,185000000.0,2,USA
Star Trek Beyond ,2016.0,Justin Lin,130468626.0,185000000.0,3,USA
WALL·E ,2008.0,Andrew Stanton,223806889.0,180000000.0,0,USA
Rush Hour 3 ,2007.0,Brett Ratner,140080850.0,140000000.0,3,USA
2012 ,2009.0,Roland Emmerich,166112167.0,200000000.0,3,USA
A Christmas Carol ,2009.0,Robert Zemeckis,137850096.0,200000000.0,2,USA
Jupiter Ascending ,2015.0,Lana Wachowski,47375327.0,176000000.0,3,USA
The Legend of Tarzan ,2016.0,David Yates,124051759.0,180000000.0,3,USA
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005.0,Andrew Adamson,291709845.0,180000000.0,2,USA
X-Men: Apocalypse ,2016.0,Bryan Singer,154985087.0,178000000.0,3,USA
The Dark Knight ,2008.0,Christopher Nolan,533316061.0,185000000.0,3,USA
Up ,2009.0,Pete Docter,292979556.0,175000000.0,2,USA
Monsters vs. Aliens ,2009.0,Rob Letterman,198332128.0,175000000.0,2,USA
Iron Man ,2008.0,Jon Favreau,318298180.0,140000000.0,3,USA
Hugo ,2011.0,Martin Scorsese,73820094.0,170000000.0,2,USA
Wild Wild West ,1999.0,Barry Sonnenfeld,113745408.0,170000000.0,3,USA
The Mummy: Tomb of the Dragon Emperor ,2008.0,Rob Cohen,102176165.0,145000000.0,3,USA
Suicide Squad ,2016.0,David Ayer,161087183.0,175000000.0,3,USA
Evan Almighty ,2007.0,Tom Shadyac,100289690.0,175000000.0,2,USA
Edge of Tomorrow ,2014.0,Doug Liman,100189501.0,178000000.0,3,USA
Waterworld ,1995.0,Kevin Reynolds,88246220.0,175000000.0,3,USA
G.I. Joe: The Rise of Cobra ,2009.0,Stephen Sommers,150167630.0,175000000.0,3,USA
Inside Out ,2015.0,Pete Docter,356454367.0,175000000.0,2,USA
Iron Man 2 ,2010.0,Jon Favreau,312057433.0,200000000.0,3,USA
Snow White and the Huntsman ,2012.0,Rupert Sanders,155111815.0,170000000.0,3,USA
Maleficent ,2014.0,Robert Stromberg,241407328.0,180000000.0,2,USA
Dawn of the Planet of the Apes ,2014.0,Matt Reeves,208543795.0,170000000.0,3,USA
47 Ronin ,2013.0,Carl Rinsch,38297305.0,175000000.0,3,USA
Captain America: The Winter Soldier ,2014.0,Anthony Russo,259746958.0,170000000.0,3,USA
Shrek Forever After ,2010.0,Mike Mitchell,238371987.0,165000000.0,2,USA
Tomorrowland ,2015.0,Brad Bird,93417865.0,190000000.0,2,USA
Big Hero 6 ,2014.0,Don Hall,222487711.0,165000000.0,2,USA
Wreck-It Ralph ,2012.0,Rich Moore,189412677.0,165000000.0,2,USA
The Polar Express ,2004.0,Robert Zemeckis,665426.0,165000000.0,0,USA
Independence Day: Resurgence ,2016.0,Roland Emmerich,102315545.0,165000000.0,3,USA
How to Train Your Dragon ,2010.0,Dean DeBlois,217387997.0,165000000.0,2,USA
Terminator 3: Rise of the Machines ,2003.0,Jonathan Mostow,150350192.0,200000000.0,4,USA
Guardians of the Galaxy ,2014.0,James Gunn,333130696.0,170000000.0,3,USA
Interstellar ,2014.0,Christopher Nolan,187991439.0,165000000.0,3,USA
Inception ,2010.0,Christopher Nolan,292568851.0,160000000.0,3,USA
The Hobbit: An Unexpected Journey ,2012.0,Peter Jackson,303001229.0,180000000.0,3,USA
The Fast and the Furious ,2001.0,Rob Cohen,144512310.0,38000000.0,3,USA
The Curious Case of Benjamin Button ,2008.0,David Fincher,127490802.0,150000000.0,3,USA
X-Men: First Class ,2011.0,Matthew Vaughn,146405371.0,160000000.0,3,USA
The Hunger Games: Mockingjay - Part 2 ,2015.0,Francis Lawrence,281666058.0,160000000.0,3,USA
The Sorcerer's Apprentice ,2010.0,Jon Turteltaub,63143812.0,150000000.0,2,USA
Poseidon ,2006.0,Wolfgang Petersen,60655503.0,160000000.0,3,USA
Alice Through the Looking Glass ,2016.0,James Bobin,76846624.0,170000000.0,2,USA
Shrek the Third ,2007.0,Chris Miller,320706665.0,160000000.0,2,USA
Warcraft ,2016.0,Duncan Jones,46978995.0,160000000.0,3,USA
Terminator Genisys ,2015.0,Alan Taylor,89732035.0,155000000.0,3,USA
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010.0,Michael Apted,104383624.0,155000000.0,2,USA
